		63023100	2,460 	99 
		63023900	226 	118 
		63024000	70 	30 
		63025100	67 	16 
		63025990	207 	86 
		63026000	127 	58 
		63031990	5 	1 
	SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS	21032000	1 	18 
		21039000	1 	18 
	SEMILLA DE AJONJOLI	12074020	318,890 	201,582 
	SOMBREROS, PARAGUAS, TAPASOLES, OTROS	65040000	3,373 	136 
		65061010	901 	107 
		65061090	55 	18 
		65069990	10 	3 
	TABACO EN RAMA O SIN ELABORAR	24012020	2,065,279 	334,620 
	TUBERIA Y SUS ACCESORIOS	73069000	2,688 	2 
		84813000	1,036 	23 
		84814000	1,058 	57 
		84818090	16 	1 
		84819000	5,783 	133 
	VEHICULOS Y MATERIAL DE TRANSPORTE	84073400	8,141 	170 
		84099100	4,158 	36 
		84099900	62,277 	20,133 
		84213100	1,047 	148 
		84213900	139 	3 
		84834000	5,557 	1,550 
		84835010	65,172 	6,873 
		85111000	222 	31 
		85113000	91 	8 
		85122000	699 	11 
		86090000	21,533 	2,388 
		87032369	1,600 	1,493 
		87032373	28,555 	1,750 
		87032490	30,000 	2,000 
		87081000	71 	10 
		87082990	2,408 	120 
		87083090	8,721 	286 
		87084010	9,651 	216 
		87084020	8,483 	260 
		87085020	1,297 	24 
		87085090	7,817 	160 
		87087000	67 	9 
		87088019	1,242 	16 
		87089110	14 	2 
		87089210	37 	5 
		87089220	1,457 	23 
		87089420	1,611 	27 
		87089900	712 	101 
		87114090	1,300 	483 
		87115090	39,684 	1,600 
		87120000	390 	165 
		87139000	100 	49 
		87141090	120 	60 
		87150010	80 	26 
	VIDRIO Y SUS MANUFACTURAS	70049000	270 	79 
		70071110	68 	10 
		70071190	325 	207 
		70072190	79 	44 
		70099200	284 	129 
		70134900	80 	78 
		70139900	72 	42 
		70179000	72 	43 
ANDORRA	FRUTAS FRESCAS, SECAS O CONGELADAS	08102000	1,560 	1,331 
		08109070	3,850 	2,282 
ANGOLA	AZUCAR	17011400	16,707,115 	42,165,499 
	MATERIALES PLASTICOS Y SUS MANUFACTURAS	63053300	8,792 	2,344 
ANGUILA ( Reino Unido )	MANUFACTURAS DE MADERA	44182000	85,000 	36,000 
ANTIGUA Y BARBUDA	AZUCAR	17011400	441,223 	1,097,953 
ARABIA SAUDITA	BULBOS, RAICES Y PLANTAS ORNAMENTALES	06021000	1,057 	150 
		12093090	28,000 	16,000 
	CAFE	09011130	236,420 	58,902 
	CARDAMOMO	09083120	70,814,790 	8,863,385 
		09083220	64,670 	9,120 
	FRUTAS FRESCAS, SECAS O CONGELADAS	08055000	1,057,657 	352,466 
		08059000	290,088 	94,200 
	MANUFACTURAS DE CERAMICA	69101000	274,081 	108,262 
	MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	71179000	9,264 	29 
	MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	84371010	39,560 	7,169 
		84371090	26,654 	4,830 
	MATERIALES PLASTICOS Y SUS MANUFACTURAS	39159000	4,401 	44,005 
		39222000	2,350 	698 
	MIEL DE ABEJAS	04090000	241,650 	111,360 
	TUBERIA Y SUS ACCESORIOS	84818020	28,253 	5,061 
ARGENTINA	APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	85219000	100 	45 
	APARATOS ELECTROMECANICOS DE USO DOMESTICO	73211190	70 	38 
		84182100	1,500 	512 
		84221100	200 	45 
		84501100	1,800 	551 
		84512100	500 	155 
		85081110	100 	45 
		85098090	45 	24 
		85161000	10 	5 
